time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,solrad
2022-10-16 00:00:00,13,10,82,0,,190,13,24.1,1010,,4,0
2022-10-16 01:00:00,13,10,82,0,,190,13,24.1,1010,,3,0
2022-10-16 02:00:00,13,10,82,0,,210,15,24.1,1010,,3,0
2022-10-16 03:00:00,13,10,82,0,,210,13,24.1,1010,,3,0
2022-10-16 04:00:00,13,10,82,0,,210,17,24.1,1011,,3,0
2022-10-16 05:00:00,13,11.1,88,0,,200,15,24.1,1011,,3,0
2022-10-16 06:00:00,13,10,82,0,,200,15,27.8,1012,,4,0
2022-10-16 07:00:00,12,10.1,88,0,,200,17,25.9,1012,,3,0
2022-10-16 08:00:00,13,11.1,88,0,,200,17,24.1,1013,,3,0
2022-10-16 09:00:00,14,11,82,0,,220,19,24.1,1014,,3,1.4
2022-10-16 10:00:00,16,12,77,0,,220,20,24.1,1015,,3,57
2022-10-16 11:00:00,17,11.9,72,0,,240,13,24.1,1015,,3,99.1
2022-10-16 12:00:00,17,11.1,68,0,,240,11,31.5,1015,,1,210.9
2022-10-16 13:00:00,18,10.1,60,0,,190,9,27.8,1016,,2,367.4
2022-10-16 14:00:00,18,9.1,56,0,,200,11,24.1,1016,,2,374.9
2022-10-16 15:00:00,18,11.1,64,0,,150,7,22.2,1016,,3,290.9
2022-10-16 16:00:00,18,11.1,64,0,,120,6,18.5,1015,,3,156.7
2022-10-16 17:00:00,17,11.9,72,0,,100,4,16.7,1015,,3,60.4
2022-10-16 18:00:00,16,12,77,0,,110,4,13,1015,,4,8.7
2022-10-16 19:00:00,15,13,88,0.1,,170,2,13,1016,,7,0
2022-10-16 20:00:00,15,13,88,0.3,,90,4,14.8,1016,,7,0
2022-10-16 21:00:00,14,13,94,0.5,,70,4,14.8,1016,,7,0
2022-10-16 22:00:00,14,13,94,0.2,,90,6,18.5,1016,,7,0
2022-10-16 23:00:00,15,13,88,0.7,,120,7,18.5,1015,,7,0
2022-10-17 00:00:00,14,13,94,0.2,,130,9,18.5,1015,,3,0
2022-10-17 01:00:00,15,14,94,0,,160,13,18.5,1015,,3,0
2022-10-17 02:00:00,16,14,88,0,,170,22,20.4,1015,,3,0
2022-10-17 03:00:00,16,14,88,0,,180,20,22.2,1015,,3,0
2022-10-17 04:00:00,17,14.1,83,0,,180,17,24.1,1015,,3,0
2022-10-17 05:00:00,17,15,88,0,,180,20,24.1,1015,,3,0
2022-10-17 06:00:00,17,15,88,0,,180,17,29.6,1015,,2,0
2022-10-17 07:00:00,17,15,88,0,,180,19,27.8,1016,,3,0
2022-10-17 08:00:00,18,15.1,83,0,,200,20,25.9,1017,,7,0
2022-10-17 09:00:00,17,16,94,2.6,,250,17,25.9,1019,,7,1.4
2022-10-17 10:00:00,17,16,94,3.6,,180,7,25.9,1018,,7,57
2022-10-17 11:00:00,17,15,88,1.1,,230,7,24.1,1019,,7,101
2022-10-17 12:00:00,17,15,88,0,,230,7,25.9,1020,,18,202
2022-10-17 13:00:00,18,15.1,83,0,,240,15,25.9,1021,,7,376
2022-10-17 14:00:00,18,15.1,83,0,,240,15,24.1,1022,,7,390.2
2022-10-17 15:00:00,18,15.1,83,0,,240,15,24.1,1022,,7,290.9
2022-10-17 16:00:00,18,15.1,83,0.5,,230,13,22.2,1023,,7,162
2022-10-17 17:00:00,17,15,88,0.7,,190,9,18.5,1023,,7,60.4
2022-10-17 18:00:00,16,14,88,0,,180,6,22.2,1024,,7,8.7
2022-10-17 19:00:00,16,14,88,0,,180,13,18.5,1024,,7,0
2022-10-17 20:00:00,16,14,88,0,,180,13,16.7,1024,,7,0
2022-10-17 21:00:00,16,12.9,82,0,,200,7,14.8,1024,,7,0
2022-10-17 22:00:00,15,13,88,0,,230,4,13,1025,,7,0
2022-10-17 23:00:00,15,13,88,0,,190,6,13,1025,,7,0
2022-10-18 00:00:00,15,13,88,0,,190,6,11.1,1025,,4,0
2022-10-18 01:00:00,15,13,88,0,,180,4,11.1,1025,,4,0
2022-10-18 02:00:00,15,13,88,0,,190,2,11.1,1025,,4,0
2022-10-18 03:00:00,14,13,94,0,,220,2,9.3,1026,,4,0
2022-10-18 04:00:00,14,13,94,0,,249,2,7.4,1025,,4,0
2022-10-18 05:00:00,15,13,88,0,,290,2,7.4,1026,,4,0
2022-10-18 06:00:00,15,13,88,0,,248,2,3.7,1026,,4,0
2022-10-18 07:00:00,15,13,88,0,,350,4,5.5,1026,,4,0
2022-10-18 08:00:00,14,12,88,0,,245,2,5.5,1027,,4,0
2022-10-18 09:00:00,15,13,88,0.2,,249,2,5.5,1027,,4,1.4
